"URDCEMLC.Code.or.Value","URDCEMLC.Value.Description","URDCEMLC.Count","URDCEMLC.Cumulative","URDCEMLC.Skip.to.Item"
"0","At or above the detection limit",2445,2445,NA
"1","Below lower detection limit",21,2466,NA
".","Missing",85,2551,NA
