"TYXA080.Code.or.Value","TYXA080.Value.Description","TYXA080.Count","TYXA080.Cumulative","TYXA080.Skip.to.Item"
"0.09 to 7.361","Range of Values",8466,8466,NA
".","Missing",3,8469,NA
