"DXDSTTOT.Code.or.Value","DXDSTTOT.Value.Description","DXDSTTOT.Count","DXDSTTOT.Cumulative","DXDSTTOT.Skip.to.Item"
"16011.8 to 173915.6","Range of Values",3820,3820,NA
".","Missing",1294,5114,NA
