"OCQ560.Code.or.Value","OCQ560.Value.Description","OCQ560.Count","OCQ560.Cumulative","OCQ560.Skip.to.Item"
"0 to 55","Range of Values",1193,1193,NA
"7777","Refused",0,1193,NA
"9999","Don't know",2,1195,NA
".","Missing",4980,6175,NA
