"DS1ICALC.Code.or.Value","DS1ICALC.Value.Description","DS1ICALC.Count","DS1ICALC.Cumulative","DS1ICALC.Skip.to.Item"
"2 to 4000","Range of Values",1983,1983,NA
".","Missing",3711,5694,NA
