"BIXS008K.Code.or.Value","BIXS008K.Value.Description","BIXS008K.Count","BIXS008K.Cumulative","BIXS008K.Skip.to.Item"
"313.64 to 1072.47","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
