"WTSAU32.Code.or.Value","WTSAU32.Value.Description","WTSAU32.Count","WTSAU32.Cumulative","WTSAU32.Skip.to.Item"
"0 to 483642.40559","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
