"DSQITFAT.Code.or.Value","DSQITFAT.Value.Description","DSQITFAT.Count","DSQITFAT.Cumulative","DSQITFAT.Skip.to.Item"
"0.02 to 15","Range of Values",868,868,NA
".","Missing",8691,9559,NA
