"LBXBCR.Code.or.Value","LBXBCR.Value.Description","LBXBCR.Count","LBXBCR.Cumulative","LBXBCR.Skip.to.Item"
"0.29 to 6.24","Range of Values",3442,3442,NA
".","Missing",168,3610,NA
