"DRD370J.Code.or.Value","DRD370J.Value.Description","DRD370J.Count","DRD370J.Cumulative","DRD370J.Skip.to.Item"
"1","Yes",8,8,""
"2","No",5416,5424,"DRD370K"
".","Missing",4338,9762,""
