"LBXVTC.Code.or.Value","LBXVTC.Value.Description","LBXVTC.Count","LBXVTC.Cumulative","LBXVTC.Skip.to.Item"
"0.0085 to 5.05","Range of Values",3103,3103,NA
".","Missing",386,3489,NA
