"LBCF05LA.Code.or.Value","LBCF05LA.Value.Description","LBCF05LA.Count","LBCF05LA.Cumulative","LBCF05LA.Skip.to.Item"
"0.0416 to 8.47","Range of Values",247,247,NA
".","Missing",17,264,NA
