"BIXC220K.Code.or.Value","BIXC220K.Value.Description","BIXC220K.Count","BIXC220K.Cumulative","BIXC220K.Skip.to.Item"
"15.9 to 96.67","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
