"DRD370HQ.Code.or.Value","DRD370HQ.Value.Description","DRD370HQ.Count","DRD370HQ.Cumulative","DRD370HQ.Skip.to.Item"
"1 to 30","Range of Values",71,71,NA
".","Missing",9879,9950,NA
