"DXDSTTOT.Code.or.Value","DXDSTTOT.Value.Description","DXDSTTOT.Count","DXDSTTOT.Cumulative","DXDSTTOT.Skip.to.Item"
"14216.3 to 175121.2","Range of Values",5110,5110,NA
".","Missing",923,6033,NA
