"DMDCITZN.Code.or.Value","DMDCITZN.Value.Description","DMDCITZN.Count","DMDCITZN.Cumulative","DMDCITZN.Skip.to.Item"
"1","Citizen by birth or naturalization",9381,9381,NA
"2","Not a citizen of the US",1128,10509,NA
"7","Refused",17,10526,NA
"9","Don't know",4,10530,NA
".","Missing",7,10537,NA
