"LBX151.Code.or.Value","LBX151.Value.Description","LBX151.Count","LBX151.Cumulative","LBX151.Skip.to.Item"
"0.0004 to 0.0467","Range of Values",1870,1870,NA
".","Missing",415,2285,NA
