"BMXTRI.Code.or.Value","BMXTRI.Value.Description","BMXTRI.Count","BMXTRI.Cumulative","BMXTRI.Skip.to.Item"
"2.4 to 43.6","Range of Values",8568,8568,NA
".","Missing",714,9282,NA
