"FSD680.Code.or.Value","FSD680.Value.Description","FSD680.Count","FSD680.Cumulative","FSD680.Skip.to.Item"
"1","Yes",1516,1516,NA
"2","No",1003,2519,NA
"7","Refused",1,2520,NA
"9","Don't know",31,2551,NA
".","Missing",7986,10537,NA
