"DSQIZINC.Code.or.Value","DSQIZINC.Value.Description","DSQIZINC.Count","DSQIZINC.Cumulative","DSQIZINC.Skip.to.Item"
"0.11 to 162","Range of Values",2477,2477,NA
".","Missing",7082,9559,NA
