"LBD172LC.Code.or.Value","LBD172LC.Value.Description","LBD172LC.Count","LBD172LC.Cumulative","LBD172LC.Skip.to.Item"
"0","detectable result",258,258,NA
"1","below detectable limit",1941,2199,NA
".","Missing",348,2547,NA
