"DS1TVC.Code.or.Value","DS1TVC.Value.Description","DS1TVC.Count","DS1TVC.Cumulative","DS1TVC.Skip.to.Item"
"1.2 to 15300","Range of Values",1734,1734,NA
".","Missing",7604,9338,NA
