"SMD430.Code.or.Value","SMD430.Value.Description","SMD430.Count","SMD430.Cumulative","SMD430.Skip.to.Item"
"1 to 39","Range of Values",1492,1492,NA
"40","40 or more",172,1664,NA
".","Missing",8684,10348,NA
