"SXQ270.Code.or.Value","SXQ270.Value.Description","SXQ270.Count","SXQ270.Cumulative","SXQ270.Skip.to.Item"
"1","Yes",13,13,NA
"2","No",2596,2609,NA
"7","Refused",0,2609,NA
"9","Don't know",2,2611,NA
".","Missing",674,3285,NA
