"DS2TSODI.Code.or.Value","DS2TSODI.Value.Description","DS2TSODI.Count","DS2TSODI.Cumulative","DS2TSODI.Skip.to.Item"
"0.4 to 690","Range of Values",414,414,NA
".","Missing",9399,9813,NA
