"DR1IFDCD.Code.or.Value","DR1IFDCD.Value.Description","DR1IFDCD.Count","DR1IFDCD.Cumulative","DR1IFDCD.Skip.to.Item"
"11000000 to 95330500","Range of Values",126503,126503,NA
".","Missing",0,126503,NA
