"DS2IFIBE.Code.or.Value","DS2IFIBE.Value.Description","DS2IFIBE.Count","DS2IFIBE.Cumulative","DS2IFIBE.Skip.to.Item"
"0.2 to 30","Range of Values",96,96,NA
".","Missing",5430,5526,NA
