"DSQIVB6.Code.or.Value","DSQIVB6.Value.Description","DSQIVB6.Count","DSQIVB6.Cumulative","DSQIVB6.Skip.to.Item"
"0.06 to 1000","Range of Values",2948,2948,NA
".","Missing",5452,8400,NA
