"DR1TSFAT.Code.or.Value","DR1TSFAT.Value.Description","DR1TSFAT.Count","DR1TSFAT.Cumulative","DR1TSFAT.Skip.to.Item"
"0 to 223.759","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
