"RHQ163.Code.or.Value","RHQ163.Value.Description","RHQ163.Count","RHQ163.Cumulative","RHQ163.Skip.to.Item"
"14 to 45","Range of Values",144,144,NA
"77","Refused",0,144,NA
"99","Don't know",0,144,NA
".","Missing",3601,3745,NA
