"DBQ235C.Code.or.Value","DBQ235C.Value.Description","DBQ235C.Count","DBQ235C.Cumulative","DBQ235C.Skip.to.Item"
"0","Never",147,147,NA
"1","Rarely-less than once a week",589,736,NA
"2","Sometimes-once a week or more, but less than once a 
    day",1356,2092,NA
"3","Often-once a day or more",2090,4182,NA
"4","Varied",92,4274,NA
"7","Refused",0,4274,NA
"9","Don't know",6,4280,NA
".","Missing",5895,10175,NA
