"LBXVCM.Code.or.Value","LBXVCM.Value.Description","LBXVCM.Count","LBXVCM.Cumulative","LBXVCM.Skip.to.Item"
"0.438 to 58.3","Range of Values",2639,2639,NA
".","Missing",655,3294,NA
