"WBXP057.Code.or.Value","WBXP057.Value.Description","WBXP057.Count","WBXP057.Cumulative","WBXP057.Skip.to.Item"
"-92.685 to 144.1883","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
