"LBDGLTSI.Code.or.Value","LBDGLTSI.Value.Description","LBDGLTSI.Count","LBDGLTSI.Cumulative","LBDGLTSI.Skip.to.Item"
"1.277 to 25.979","Range of Values",2233,2233,NA
".","Missing",1082,3315,NA
