"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"113.9 to 291.7","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
