"DR2ISFAT.Code.or.Value","DR2ISFAT.Value.Description","DR2ISFAT.Count","DR2ISFAT.Cumulative","DR2ISFAT.Skip.to.Item"
"0 to 99.78","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
