"OCQ420.Code.or.Value","OCQ420.Value.Description","OCQ420.Count","OCQ420.Cumulative","OCQ420.Skip.to.Item"
"1","Yes",600,600,""
"2","No",1707,2307,"OCQ460"
"7","Refused",6,2313,"OCQ460"
"9","Don't know",10,2323,"OCQ460"
".","Missing",4972,7295,""
