"DXXSAY.Code.or.Value","DXXSAY.Value.Description","DXXSAY.Count","DXXSAY.Cumulative","DXXSAY.Skip.to.Item"
"125.3 to 356.3","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
