"URDPHGLC.Code.or.Value","URDPHGLC.Value.Description","URDPHGLC.Count","URDPHGLC.Cumulative","URDPHGLC.Skip.to.Item"
"0","At or above the detection limit",2412,2412,NA
"1","Below lower detection limit",23,2435,NA
".","Missing",170,2605,NA
