"RDQ080.Code.or.Value","RDQ080.Value.Description","RDQ080.Count","RDQ080.Cumulative","RDQ080.Skip.to.Item"
"1 to 12","Range of Values",1252,1252,NA
"7777","Refused",0,1252,NA
"9999","Don't know",30,1282,NA
".","Missing",8827,10109,NA
