"DXXPT94X.Code.or.Value","DXXPT94X.Value.Description","DXXPT94X.Count","DXXPT94X.Cumulative","DXXPT94X.Skip.to.Item"
"483.4 to 1071.5","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
