"KIQ042.Code.or.Value","KIQ042.Value.Description","KIQ042.Count","KIQ042.Cumulative","KIQ042.Skip.to.Item"
"1","Yes",1211,1211,""
"2","No",3655,4866,"KIQ044"
"7","Refused",4,4870,"KIQ044"
"9","Don't know",8,4878,"KIQ044"
".","Missing",691,5569,""
