"DXXLRA.Code.or.Value","DXXLRA.Value.Description","DXXLRA.Count","DXXLRA.Cumulative","DXXLRA.Skip.to.Item"
"44.31 to 207.27","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
