"DXXPT40X.Code.or.Value","DXXPT40X.Value.Description","DXXPT40X.Count","DXXPT40X.Cumulative","DXXPT40X.Skip.to.Item"
"549.9 to 1137","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
