"LBX110LA.Code.or.Value","LBX110LA.Value.Description","LBX110LA.Count","LBX110LA.Cumulative","LBX110LA.Skip.to.Item"
"0.08 to 59.2","Range of Values",1882,1882,NA
".","Missing",403,2285,NA
