"DR2IIRON.Code.or.Value","DR2IIRON.Value.Description","DR2IIRON.Count","DR2IIRON.Cumulative","DR2IIRON.Skip.to.Item"
"0 to 143.8","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
