"URDP05LC.Code.or.Value","URDP05LC.Value.Description","URDP05LC.Count","URDP05LC.Cumulative","URDP05LC.Skip.to.Item"
"0","At or above the detection limit",2198,2198,NA
"1","Below lower detection limit",60,2258,NA
".","Missing",91,2349,NA
