"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"8.84 to 1140.36","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
