"FFQ0139B.Code.or.Value","FFQ0139B.Value.Description","FFQ0139B.Count","FFQ0139B.Cumulative","FFQ0139B.Skip.to.Item"
2,"Corn",2356,2356,NA
88,"Blank",4116,6472,NA
99,"Error",0,6472,NA
