"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"0 to 435025.30254","Range of Values",2337,2337,NA
".","Missing",0,2337,NA
