"LBDFSHSI.Code.or.Value","LBDFSHSI.Value.Description","LBDFSHSI.Count","LBDFSHSI.Cumulative","LBDFSHSI.Skip.to.Item"
"0.14 to 196.1","Range of Values",943,943,NA
".","Missing",6502,7445,NA
