"SPXBFEV6.Code.or.Value","SPXBFEV6.Value.Description","SPXBFEV6.Count","SPXBFEV6.Cumulative","SPXBFEV6.Skip.to.Item"
"1139 to 6767","Range of Values",457,457,NA
".","Missing",7038,7495,NA
