"URXUTU.Code.or.Value","URXUTU.Value.Description","URXUTU.Count","URXUTU.Cumulative","URXUTU.Skip.to.Item"
"0.018 to 32.91","Range of Values",2491,2491,NA
".","Missing",103,2594,NA
