"DXXPT59Y.Code.or.Value","DXXPT59Y.Value.Description","DXXPT59Y.Count","DXXPT59Y.Cumulative","DXXPT59Y.Skip.to.Item"
"63.9 to 303.5","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
