"LBXPCT.Code.or.Value","LBXPCT.Value.Description","LBXPCT.Count","LBXPCT.Cumulative","LBXPCT.Skip.to.Item"
"1.1 to 100.9","Range of Values",7845,7845,NA
".","Missing",987,8832,NA
