"LBDTHGSI.Code.or.Value","LBDTHGSI.Value.Description","LBDTHGSI.Count","LBDTHGSI.Cumulative","LBDTHGSI.Skip.to.Item"
"0.7 to 165.67","Range of Values",8407,8407,NA
".","Missing",1033,9440,NA
