"OSD030ab.Code.or.Value","OSD030ab.Value.Description","OSD030ab.Count","OSD030ab.Cumulative","OSD030ab.Skip.to.Item"
"14 to 73","Range of Values",3,3,NA
"80","80 or older",2,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",5930,5935,NA
