"URXPIM.Code.or.Value","URXPIM.Value.Description","URXPIM.Count","URXPIM.Cumulative","URXPIM.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2422,2422,NA
".","Missing",272,2694,NA
