"CIQP55.Code.or.Value","CIQP55.Value.Description","CIQP55.Count","CIQP55.Cumulative","CIQP55.Skip.to.Item"
"1 to 4","Range of Values",7,7,NA
"900","900 +",0,7,NA
"7777","Refused",0,7,NA
"9999","Don't know",0,7,NA
".","Missing",921,928,NA
