"DR1EXMER.Code.or.Value","DR1EXMER.Value.Description","DR1EXMER.Count","DR1EXMER.Cumulative","DR1EXMER.Skip.to.Item"
"2 to 91","Range of Values",5694,5694,NA
".","Missing",0,5694,NA
