"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"576.43623642 to 537656.81002","Range of Values",126736,126736,NA
".","Missing",1104,127840,NA
