"DS1DSCNT.Code.or.Value","DS1DSCNT.Value.Description","DS1DSCNT.Count","DS1DSCNT.Cumulative","DS1DSCNT.Skip.to.Item"
"0 to 18","Range of Values",9748,9748,NA
".","Missing",505,10253,NA
