"WBXA028.Code.or.Value","WBXA028.Value.Description","WBXA028.Count","WBXA028.Cumulative","WBXA028.Skip.to.Item"
"-6.367 to 0.9995","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
