"FSD180.Code.or.Value","FSD180.Value.Description","FSD180.Count","FSD180.Cumulative","FSD180.Skip.to.Item"
"1","Yes",961,961,"FSD190"
"2","No",9236,10197,"FSDBOX7"
"7","Refused",0,10197,"FSQ210"
"9","Don't know",1,10198,"FSQ210"
".","Missing",150,10348,""
